index,Job_Title,Rating,Company_Name,Year_Founded,Type_of_Ownership,Industry,Sector,Competitors,Revenue_USD_Low,Revenue_USD_High,Number_of_Employees_Low,Number_of_Employees_High,Headquarters_City,Headquarters_State/Country,Location_City,Location_State,Salary_Range_Low_Thousands_of_USD,Salary_Range_High_Thousands_of_USD,Excel_Skills,Python_Skills,Cloud_System_Skills,SQL_Skills,Tableau_Power_BI_Skills,ML_Skills,PhD,Skills_Sum
0,Sr Data Scientist,3.1,Healthfirst,1993,Nonprofit Organization,Insurance Carriers,Insurance,"EmblemHealth, UnitedHealth Group, Aetna",,,1001,5000,New York,NY,New York,NY,137,171,0,0,1,0,1,1,0,3
1,Data Scientist,4.2,ManTech,1968,Company - Public,Research & Development,Business Services,,1,2_000_000_000,5001,10000,Herndon,VA,Chantilly,VA,137,171,0,0,0,1,0,1,0,2
2,Data Scientist,3.8,Analysis Group,1981,Company - Private,Consulting,Business Services,,100,500_000_000,1001,5000,Boston,MA,Boston,MA,137,171,1,1,1,0,1,1,1,6
3,Data Scientist,3.5,INFICON,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",100,500_000_000,501,1000,Bad Ragaz,Switzerland,Newton,MA,137,171,1,1,1,1,1,1,0,6
4,Data Scientist,2.9,Affinity Solutions,1998,Company - Private,Advertising & Marketing,Business Services,"Commerce Signals, Cardlytics, Yodlee",,,51,200,New York,NY,New York,NY,137,171,1,1,0,1,0,1,0,4
5,Data Scientist,4.2,HG Insights,2010,Company - Private,Computer Hardware & Software,Information Technology,,,,51,200,Santa Barbara,CA,Santa Barbara,CA,137,171,1,1,0,1,0,1,0,4
6,Data Scientist / Machine Learning Expert,3.9,Novartis,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,Basel,Switzerland,Cambridge,MA,137,171,0,1,0,0,0,1,0,2
7,Data Scientist,3.5,iRobot,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,,1,2_000_000_000,1001,5000,Bedford,MA,Bedford,MA,137,171,0,1,0,1,0,1,0,3
8,Staff Data Scientist - Analytics,4.4,Intuit - Data,1983,Company - Public,Computer Hardware & Software,Information Technology,"Square, PayPal, H&R Block",2,5_000_000_000,5001,10000,Mountain View,CA,San Diego,CA,137,171,0,0,0,0,0,0,0,0
9,Data Scientist,3.6,XSELL Technologies,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,51,200,Chicago,IL,Chicago,IL,137,171,0,1,0,1,0,1,1,4
10,Data Scientist,4.5,Novetta,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Leidos, CACI International, Booz Allen Hamilton",100,500_000_000,501,1000,Mc Lean,VA,Herndon,VA,137,171,1,1,1,0,1,1,0,5
11,Data Scientist,4.7,1904labs,2016,Company - Private,IT Services,Information Technology,"Slalom, Daugherty Business Solutions",,,51,200,Saint Louis,MO,Saint Louis,MO,137,171,0,1,0,1,0,1,0,3
12,"Data Scientist - Statistics, Early Career",3.7,PNNL,1965,Government,Energy,"Oil, Gas, Energy & Utilities","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",500_000_000,1_000_000_000,1001,5000,Richland,WA,Richland,WA,137,171,1,0,0,0,0,1,1,3
13,Data Modeler,3.1,Old World Industries,1973,Company - Private,Chemical Manufacturing,Manufacturing,,1,2_000_000_000,201,500,Northbrook,IL,Northbrook,IL,137,171,1,1,0,1,0,1,0,4
14,Data Scientist,3.4,Mathematica Policy Research,1986,Company - Private,Consulting,Business Services,,100,500_000_000,1001,5000,Princeton,NJ,Washington,DC,137,171,1,1,1,0,1,1,1,6
15,Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),1997,Company - Private,Federal Agencies,Government,,,,1,50,Mays Landing,NJ,Washington,DC,137,171,1,1,0,1,0,1,0,4
16,Data Scientist - Contract,4.1,Upside Business Travel,2015,Company - Private,Internet,Information Technology,,,,51,200,Washington,DC,Remote,,137,171,0,1,0,0,0,1,0,2
17,Data Scientist,3.5,Buckman,1945,Company - Private,Chemical Manufacturing,Manufacturing,,500_000_000,1_000_000_000,1001,5000,Memphis,TN,Memphis,TN,137,171,0,1,0,1,0,1,1,4
